Date,Close,High,Low,Open,Volume
8/2/2024,45301.56641,45575.83984,44332.125,44332.125,26154524080
9/2/2024,47147.19922,48152.49609,45260.82422,45297.38281,39316770844
10/2/2024,47771.27734,48146.17188,46905.32031,47153.52734,16398681570
11/2/2024,48293.91797,48535.9375,47617.40625,47768.96875,19315867136
12/2/2024,49958.22266,50280.47656,47745.76172,48296.38672,34511985805
13/2/2024,49742.44141,50358.39063,48406.49609,49941.35938,35593051468
14/2/2024,51826.69531,52021.37109,49296.83203,49733.44531,39105608050
15/2/2024,51938.55469,52820.06641,51371.62891,51836.78516,38564360533
16/2/2024,52160.20313,52537.96875,51641.36719,51937.72656,28180567298
17/2/2024,51662.99609,52191.91406,50669.66797,52161.67578,20009091006
18/2/2024,52122.54688,52356.96484,51233.70703,51661.96875,17595377311
19/2/2024,51779.14453,52483.32422,51711.82031,52134.8125,21362184346
20/2/2024,52284.875,52945.05078,50792.3125,51777.72656,33353758256
21/2/2024,51839.17969,52368.81641,50671.75781,52273.53516,28624907020
22/2/2024,51304.97266,52009.61328,50926.29297,51854.64453,25413900611
23/2/2024,50731.94922,51497.93359,50561.77734,51283.90625,21427078270
24/2/2024,51571.10156,51684.19531,50585.44531,50736.37109,15174077879
25/2/2024,51733.23828,51950.02734,51306.17188,51565.21484,15413239245
26/2/2024,54522.40234,54938.17578,50931.03125,51730.53906,34074411896
27/2/2024,57085.37109,57537.83984,54484.19922,54519.36328,49756832031
28/2/2024,62504.78906,63913.13281,56738.42578,57071.09766,83239156760
29/2/2024,61198.38281,63585.64453,60498.73047,62499.18359,65496611844
1/3/2024,62440.63281,63155.10156,60802.52734,61168.0625,40186368423
2/3/2024,62029.84766,62458.69922,61657.28906,62431.65234,23888473685
3/3/2024,63167.37109,63230.21094,61435.02344,62031.57813,26253811450
4/3/2024,68330.41406,68537.03125,62386.51953,63137.00391,70670471105
5/3/2024,63801.19922,69170.625,59323.91016,68341.05469,1.03E+11
6/3/2024,66106.80469,67637.92969,62848.67188,63776.05078,68750229073
7/3/2024,66925.48438,68029.92188,65655.53125,66099.74219,46989543159
8/3/2024,68300.09375,70083.05469,66230.45313,66938.09375,59202881172
9/3/2024,68498.88281,68673.05469,68053.125,68299.25781,21609650379
10/3/2024,69019.78906,70005.20313,68239.97656,68500.25781,35683977532
11/3/2024,72123.90625,72850.71094,67194.88281,69020.54688,65716656765
12/3/2024,71481.28906,72825.65625,68728.85156,72125.125,62554434520
13/3/2024,73083.5,73637.47656,71334.09375,71482.11719,48212536929
14/3/2024,71396.59375,73750.07031,68563.02344,73079.375,59594605698
15/3/2024,69403.77344,72357.13281,65630.69531,71387.875,78320453976
16/3/2024,65315.11719,70046.27344,64801.39453,69392.48438,46842198371
17/3/2024,68390.625,68845.71875,64545.31641,65316.34375,44716864318
